profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr,power
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.disappointment,True,50,50,50,0.001829416389518883,0.0018917694952688179,0.0026830522934102458,0.003287368213100882,6.235310574993491e-05,0.07763979987970876,-9.389386867405847e-05,0.0003129187306476522,-0.3421934533122372,0.23645023395541814,0.5489962898490857,0.5855011865317366,1.0,0.822584152669201,False,False,0.08380329601122943
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.disapproval,True,50,50,50,0.006443429986102273,0.0023990351431712044,0.028826282524560688,0.0027066446639130663,-0.004044394842931069,-0.14246137890153615,-0.012109108614487923,1.5811775359907167e-05,-0.3076707342537511,0.08937269561571087,-1.0073540707846234,0.318713427603825,1.0,0.5562498593854903,False,False,0.16706051672472538
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.disgust,True,50,50,50,0.0004729913984192535,0.00043240416809567253,0.0005660474412055135,0.00046139056374352533,-4.0587230323581025e-05,-0.1640949783751719,-0.00011538980195109616,2.259470435092217e-06,-0.36423540356280076,0.0644571169651771,-1.1603267196774392,0.2515380972818142,1.0,0.6052871267945974,False,False,0.20642946480467772
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.embarrassment,True,50,50,50,0.00037342597019232924,0.00036843123021753857,0.0004947066096575492,0.000507634356049072,-4.994739974790718e-06,-0.07626656142968895,-2.477068312873598e-05,1.2602018237885181e-05,-0.31236825007463387,0.21465337086221623,-0.5392860276471345,0.5921316583900449,1.0,0.811878723301311,False,False,0.08259960595942313
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.excitement,True,50,50,50,0.014337878447258845,0.013962301388382913,0.04181252094889299,0.04186631713555468,-0.0003755770588759333,-0.23470839689456108,-0.0009174794574209954,-4.926043329760433e-05,-0.4246088839524612,-0.1598557757757163,-1.6596389904556779,0.10337476832752511,1.0,0.2506054989758184,False,False,0.3697960383335431
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.fear,True,50,50,50,0.0011140880239690887,0.0012510272203508067,0.0025960886748436153,0.003040592329667039,0.00013693919638171792,0.17160434721618964,-2.605460934864823e-05,0.00038261043895909083,-0.3489660873000928,0.3103556031488805,1.2134259759765853,0.23078391441772814,1.0,0.7083812415929186,False,False,0.22139547542855542
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.gratitude,True,50,50,50,0.005727337606549554,0.005782945931750874,0.022555973329890365,0.022559334393243924,5.560832520131953e-05,0.09230210280481642,-6.133678123660501e-05,0.00025113546586362593,-0.2950847648404479,0.24334353594907812,0.6526744281106354,0.517016716508286,1.0,0.5336946751053274,False,False,0.09807965888922983
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.grief,True,50,50,50,0.00032568753726081924,0.00036940199111995753,0.0005548850887162614,0.0006678800758986214,4.37144538591383e-05,0.1461384108227012,-1.0316899853933137e-05,0.00013714138807699778,-0.30343507813110404,0.2717340484663044,1.0333546128455757,0.3065113537275342,1.0,0.556315136087255,False,False,0.17335079367012435
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.joy,True,50,50,50,0.03757518996288127,0.05320486672288098,0.12274410394791967,0.1659211755433786,0.01562967675999971,0.13917275507472712,-0.0007300060526904417,0.04765524204224493,-0.2521782973075879,0.2504403209592527,0.9840999886975405,0.32990079105194337,1.0,0.410883109345862,False,False,0.16157609831204908
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.love,True,50,50,50,0.0018817298961948837,0.0018012580047798111,0.0028947979655751495,0.0028538774460625644,-8.04718914150726e-05,-0.1982499055266317,-0.000198016506528802,1.6587312347837718e-05,-0.3782096905547273,0.0765927337106844,-1.4018385256747365,0.16726653151726303,1.0,0.335376462071564,False,False,0.27951917803015885
